Номер текста,Количество слов,Количество уникальных слов,Количество предложений
,1918,826,107
5,517,294,21
,844,423,48
,3001,1171,264
,951,497,30
,2316,945,148
,3014,1123,149
,1427,708,81
,1618,785,108
,78,63,3
,2298,946,122
,77,67,3
,384,211,11
,606,328,25
,1528,742,88
,102,81,3
,2461,1198,124
,253,174,12
,2560,1119,175
,236,167,12
,237,158,11
,1898,892,114
,157,108,7
,732,452,35
,402,225,19
,205,132,5
,256,174,11
,74,62,5
,126,96,8
,617,341,28
,905,512,84
,472,289,21
,1013,535,41
,971,530,64
,1427,757,77
,1543,773,53
,3147,842,209
,209,153,15
,1615,753,60
,283,178,10
,1448,715,78
,359,221,14
,186,136,7
,1970,997,88
20,353,238,20
,319,234,18
2,965,417,66
,118,89,10
,137,106,5
,1013,522,63
,347,208,14
,236,169,13
,2054,962,115
2,3173,1241,223
,593,345,20
,376,237,13
,234,151,8
,162,124,7
,2767,1168,137
,262,171,12
,2600,1103,111
,150,108,8
,2060,936,131
,1849,867,177
,384,252,18
,2873,1159,124
,97,79,6
,614,335,37
,204,126,13
,2876,1290,199
,160,124,7
,1589,772,78
,605,367,28
,508,316,28
,2976,1204,155
,2669,1187,194
,150,114,8
,479,308,22
,246,178,9
,1044,531,80
,1759,879,102
,457,293,21
19,214,158,10
,637,359,27
,2542,1133,156
,355,230,21
,627,393,37
,812,453,51
35,493,287,16
,1438,682,60
,79,63,3
,270,185,17
,1284,652,88
,1838,794,95
,2715,1160,132
,1427,680,62
,994,526,56
,469,286,30
,1231,693,72
,2336,986,83
,214,152,9
,1249,587,55
,1561,710,75
,307,199,12
,2443,1039,123
,407,258,19
,587,346,27
,1585,755,90
,561,321,26
,979,479,41
,182,128,5
,754,398,57
,1854,776,98
,217,145,9
,259,179,10
,1631,809,69
,1626,764,77
,543,263,30
,191,114,8
,1726,750,81
,1205,650,64
,1263,600,86
,1353,620,53
2,582,313,25
,1238,669,95
2,521,289,28
,255,176,17
,1463,773,77
,372,259,16
2,946,489,52
,178,127,7
,94,76,7
,638,321,35
,353,237,16
,3303,1419,166
,527,303,21
,203,137,10
,401,251,18
2,184,131,10
,66,55,3
,340,217,15
,140,100,4
,1065,542,61
,489,312,23
,1818,892,98
,2197,1198,170
,2599,1109,107
,1405,719,100
,509,319,28
,945,460,36
,534,314,18
,251,177,13
,977,485,51
,426,237,16
,2313,1068,137
,1194,672,59
,238,164,9
,1860,840,92
,602,344,24
,829,448,42
,3694,1558,263
,74,57,4
,321,214,10
,1243,636,91
,264,174,12
,121,102,6
,107,84,4
,1226,586,64
,460,292,22
,3590,1607,135
,86,76,5
